1.5051 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.5792 	EXP 	text_2: height = 0.05
6.5792 	EXP 	text_2: height = 0.05
6.5792 	EXP 	text_2: height = 0.05
6.5792 	EXP 	text_2: text = 0
6.5834 	EXP 	text_2: height = 0.05
6.5834 	EXP 	text_2: height = 0.05
6.5834 	EXP 	text_2: height = 0.05
6.5834 	EXP 	text_2: text = 0
6.5875 	EXP 	text_2: height = 0.05
6.5875 	EXP 	text_2: height = 0.05
6.5875 	EXP 	text_2: height = 0.05
6.5875 	EXP 	text_2: text = 0
6.5917 	EXP 	text_2: height = 0.05
6.5917 	EXP 	text_2: height = 0.05
6.5917 	EXP 	text_2: height = 0.05
6.5917 	EXP 	text_2: text = 0
6.5959 	EXP 	text_2: height = 0.05
6.5959 	EXP 	text_2: height = 0.05
6.5959 	EXP 	text_2: height = 0.05
6.5959 	EXP 	text_2: text = 0
6.6000 	EXP 	text_2: height = 0.05
6.6000 	EXP 	text_2: height = 0.05
6.6000 	EXP 	text_2: height = 0.05
6.6000 	EXP 	text_2: text = 0
6.6042 	EXP 	text_2: height = 0.05
6.6042 	EXP 	text_2: height = 0.05
6.6042 	EXP 	text_2: height = 0.05
6.6042 	EXP 	text_2: text = 0
6.6084 	EXP 	text_2: height = 0.05
6.6084 	EXP 	text_2: height = 0.05
6.6084 	EXP 	text_2: height = 0.05
6.6084 	EXP 	text_2: text = 0
6.6125 	EXP 	text_2: height = 0.05
6.6125 	EXP 	text_2: height = 0.05
6.6125 	EXP 	text_2: height = 0.05
6.6125 	EXP 	text_2: text = 0
6.6167 	EXP 	text_2: height = 0.05
6.6167 	EXP 	text_2: height = 0.05
6.6167 	EXP 	text_2: height = 0.05
6.6167 	EXP 	text_2: text = 0
6.6214 	EXP 	text_2: height = 0.05
6.6214 	EXP 	text_2: height = 0.05
6.6214 	EXP 	text_2: height = 0.05
6.6214 	EXP 	text_2: text = 0
6.6251 	EXP 	text_2: height = 0.05
6.6251 	EXP 	text_2: height = 0.05
6.6251 	EXP 	text_2: height = 0.05
6.6251 	EXP 	text_2: text = 0
6.6292 	EXP 	text_2: height = 0.05
6.6292 	EXP 	text_2: height = 0.05
6.6292 	EXP 	text_2: height = 0.05
6.6292 	EXP 	text_2: text = 0
6.6334 	EXP 	text_2: height = 0.05
6.6334 	EXP 	text_2: height = 0.05
6.6334 	EXP 	text_2: height = 0.05
6.6334 	EXP 	text_2: text = 0
6.6376 	EXP 	text_2: height = 0.05
6.6376 	EXP 	text_2: height = 0.05
6.6376 	EXP 	text_2: height = 0.05
6.6376 	EXP 	text_2: text = 0
6.6417 	EXP 	text_2: height = 0.05
6.6417 	EXP 	text_2: height = 0.05
6.6417 	EXP 	text_2: height = 0.05
6.6417 	EXP 	text_2: text = 0
6.6459 	EXP 	text_2: height = 0.05
6.6459 	EXP 	text_2: height = 0.05
6.6459 	EXP 	text_2: height = 0.05
6.6459 	EXP 	text_2: text = 0
6.6501 	EXP 	text_2: height = 0.05
6.6501 	EXP 	text_2: height = 0.05
6.6501 	EXP 	text_2: height = 0.05
6.6501 	EXP 	text_2: text = 0
6.6542 	EXP 	text_2: height = 0.05
6.6542 	EXP 	text_2: height = 0.05
6.6542 	EXP 	text_2: height = 0.05
6.6542 	EXP 	text_2: text = 0
6.6584 	EXP 	text_2: height = 0.05
6.6584 	EXP 	text_2: height = 0.05
6.6584 	EXP 	text_2: height = 0.05
6.6584 	EXP 	text_2: text = 0
6.6626 	EXP 	text_2: height = 0.05
6.6626 	EXP 	text_2: height = 0.05
6.6626 	EXP 	text_2: height = 0.05
6.6626 	EXP 	text_2: text = 0
6.6668 	EXP 	text_2: height = 0.05
